,control_RunId0091_LaneId1,D0-C-1_RunId0091_LaneId1,D0-C-2_RunId0091_LaneId1,D0-C-3_RunId0091_LaneId1,D0-C-4_RunId0091_LaneId1,D0-I-1_RunId0091_LaneId1,D0-I-2_RunId0091_LaneId1,D0-I-3_RunId0091_LaneId1,D0-I-4_RunId0091_LaneId1,D0-I-6_RunId0091_LaneId1,D11-C-1_RunId0091_LaneId1,D11-C-2_RunId0091_LaneId1,D11-C-3_RunId0091_LaneId1,D11-C-4_RunId0091_LaneId1,D11-I-1_RunId0091_LaneId1,D11-I-2_RunId0091_LaneId1,D11-I-3_RunId0091_LaneId1,D11-I-4_RunId0091_LaneId1,D11-I-5_RunId0091_LaneId1,D11-I-6_RunId0091_LaneId1,D2-C-4_RunId0091_LaneId1,D2-I-1_RunId0091_LaneId1,D2-I-2_RunId0091_LaneId1,D2-I-3_RunId0091_LaneId1,D2-I-4_RunId0091_LaneId1,D2-I-5_RunId0091_LaneId1,D2-I-6_RunId0091_LaneId1,D5-C-1_RunId0091_LaneId1,D5-C-3_RunId0091_LaneId1,D5-C-4_RunId0091_LaneId1,D5-I-1_RunId0091_LaneId1,D5-I-2_RunId0091_LaneId1,D5-I-3_RunId0091_LaneId1,D5-I-4_RunId0091_LaneId1,D-5-I-5_RunId0091_LaneId1,D5-I-6_RunId0091_LaneId1
Roseiflexaceae,0.0,4.925004152061688e-06,0.0,9.880830486773249e-06,1.6343704666646912e-05,8.270454202623543e-06,0.0,0.0,6.755643957346238e-06,0.0,0.0,8.297002936360172e-06,0.0,7.257321616187862e-06,7.627763346073382e-05,0.00010499727370378938,7.990144889241745e-05,2.3412762303076266e-05,4.8428006248113176e-05,0.0,0.0,6.11012683544099e-05,0.0,7.0048057531097275e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9241006402058457e-05,0.0,0.0,0.0
Endomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7595888320070833e-05,0.0,0.0,0.0,0.0,0.0,2.6139931783866375e-05,0.0,0.0,5.232630223001523e-05,0.0,0.0,2.963373255555859e-05,2.0479706092559416e-05,0.0001320473092824809,1.6523171120973884e-05,5.046080475118995e-05,0.0,3.1518575138886134e-05,0.0,0.0,0.0,0.0,2.8450371300245175e-05,0.0,6.930361108440709e-05,0.0,0.0,0.0
Anaeromyxobacteraceae,0.0,1.6813736380488846e-05,7.3001211043616205e-06,8.43317456673394e-05,5.579665179176168e-05,3.2940772803248864e-05,5.537102012202982e-06,3.335575270204121e-05,4.612691200745991e-05,2.5729064908626495e-05,2.8421080431561542e-05,9.441861422032392e-06,2.9200210442086888e-05,4.129360054513025e-05,0.00011573702781770611,0.0006843247778549312,0.00033064224346960567,0.00015986017519931648,4.408825957490579e-05,9.362560889051124e-05,2.588165293345639e-05,0.0002642227451482838,1.5661124909961218e-05,4.782816570013052e-05,8.939617221679892e-05,2.987418931996148e-05,6.300783749713486e-05,7.966889386231298e-06,6.166799261128681e-06,0.0,4.4943432811789616e-05,6.056392650308369e-05,2.1895968636160515e-05,2.5996309774885068e-05,2.979123322881543e-05,1.732332344672913e-05
Parachlamydiaceae,0.0,0.0,2.389985488370516e-05,1.84062378758322e-05,3.0445428273397256e-05,5.39223718688976e-05,0.0,9.100278814087499e-06,1.2584568660478105e-05,0.0,0.0,0.0,1.593308709455437e-05,0.0,0.0002210315750222394,7.112412072475619e-05,9.471779760676531e-05,0.00015264840895728632,1.804256037077615e-05,6.130414643518248e-05,1.0591737801624494e-05,2.2764169091895804e-05,0.0,2.6097425947814337e-05,0.0,1.6300843490775e-05,1.8752841732968953e-05,1.304139325111303e-05,2.018947430198889e-05,0.0,5.885609330703048e-05,0.0,7.168517692531598e-05,0.0,0.0,0.0
Caldilineaceae,0.0,0.0,0.0,1.5482949547780315e-05,5.691126539666968e-06,0.0,0.0,0.0,0.0,0.0,6.522486741693532e-06,8.667427839755813e-06,0.0,0.0,7.082941891500099e-05,4.9856792220856785e-05,0.00010623288992318382,2.4458039770236805e-05,4.047208398486154e-05,0.0,0.0,1.9148751848401673e-05,4.79219312023018e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0100033208772365e-05,0.0,0.0,0.0
Anaplasmataceae,0.0,0.0,3.1723048765909945e-05,2.4431193602353882e-05,2.6940799724952547e-05,0.0,2.4061759338483444e-05,7.24745627136427e-05,3.340780831154556e-05,0.0,0.0,4.1030090603995564e-05,0.0,0.0,0.000670588213536883,0.00028321602300467025,0.00032328511668972064,0.00046312036572880886,0.0001915877816962789,0.0002034274304570888,0.0,0.0001208624654386482,9.074162325898428e-05,0.00013855982306766062,0.0002158197933505524,4.327327136499783e-05,4.978250417745961e-05,3.462052435829102e-05,0.0,4.787102797727241e-05,3.906079612690144e-05,3.289795413058974e-05,9.515004900490573e-05,0.00011296829065337774,0.0,0.00015055877200718747
Magnetococcaceae,0.0,5.8080492760346205e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3632221843417575e-06,0.0,0.0,0.0,6.996429017778468e-05,2.2513293046597303e-05,2.5698449164082305e-05,0.0,3.426664075132712e-05,0.0,0.0,2.1616987507436064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1416032926319496e-05,0.0,0.0,2.269088712481016e-05,0.0,0.0,0.0
Streptosporangiaceae,0.0,5.633603063210406e-05,4.316427076403016e-05,0.00025264328919860944,7.331451541801424e-05,0.00011408116398010111,7.530168668407019e-05,5.588081861922373e-05,0.00010909597202210827,8.620769090383667e-05,3.781093745756881e-05,0.00010607317447346969,0.00013236918836923752,8.789812203625442e-05,0.0003649769154770332,0.0019717617359287674,0.0012121165243498828,0.000488365607066305,0.0001238257331125379,9.964637482971062e-05,8.416839426199265e-05,0.0010442744771808434,8.025449937468967e-05,0.00019324607190637048,0.00011158976379482816,0.00010009632639367539,0.00013886093629404884,6.59494482320938e-05,4.7402091831663385e-05,1.3027234731511337e-05,0.00011692658369590168,5.3715500429506905e-05,0.0002589336547546477,9.735054629458103e-05,7.046002876388789e-05,2.0485923811338673e-05
Cellulomonadaceae,0.0,8.196597430754165e-05,6.40577885613531e-05,0.0010360029755721277,0.0001632032342026318,0.00019270119213203666,0.0001295666212910436,0.0001300858634684854,0.00020237938070620515,0.00012542767565362745,7.273932368496933e-05,0.00019331977637363997,5.693972225348561e-05,0.00022948641171835572,0.0011425276642008098,0.00675151554753643,0.002296902577356354,0.0012663770214178085,0.00045134810291936825,0.00015061837810056555,0.0001040915149603376,0.0025320750694388995,0.000137424710326496,0.0005012929036898277,0.00023242723891298594,0.00017476189554869692,0.00030995185487186306,5.825717460700501e-05,0.00011724485406453737,3.222170532863006e-05,0.00019718692848526097,0.00021036247126199613,0.00038426960572014897,0.0002407879094016476,2.178457603501517e-05,0.0002533505437025088
Kosmotogaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3646804181860536e-05,0.0,1.869455338180399e-05,0.0,5.5572854065914246e-05,0.0,4.762883622682372e-05,5.1172826045471754e-05,0.0,3.59645821069461e-05,0.0,0.0,0.0,1.5310269742887424e-05,0.0,1.9126048015571238e-05,0.0,1.5301681391634276e-05,0.0,0.0,0.0,0.0,4.2054699091314576e-05,0.0,0.0,0.0
